,postcode,year,Accident_risk
0,AB10 1AU,2012,1.5
1,AB10 1AU,2013,1
2,AB10 1BD,2012,1.2
3,AB10 1BW,2012,2
4,AB10 1HT,2012,1
5,AB10 1NJ,2012,1.428571429
6,AB10 1PG,2012,1
7,AB10 1PG,2013,1
8,AB10 1PR,2012,1.857142857
9,AB10 1QS,2012,1.333333333
10,AB10 1QT,2012,1.388888889
11,AB10 1SA,2012,1.1
12,AB10 1TP,2012,2
13,AB10 1TT,2013,2
14,AB10 1TX,2012,1
15,AB10 1YP,2012,1
16,AB10 1YP,2013,1
17,AB10 6AD,2012,2
18,AB10 6BQ,2012,1
19,AB10 6HS,2012,1.6
20,AB10 6LQ,2013,3
21,AB10 6NN,2012,1
22,AB10 6NN,2013,1
23,AB10 6PY,2012,1
24,AB10 7BB,2012,1
25,AB10 7EH,2012,1.75
26,AB10 7FT,2012,1.333333333
27,AB10 7FT,2013,1.25
28,AB10 7JP,2012,1.333333333
29,AB10 7JP,2013,1
30,AB10 7LF,2012,2
31,AB10 7LY,2012,1
32,AB10 7LY,2013,1
33,AB10 7NE,2012,2.333333333
34,AB10 7PD,2012,1.166666667
35,AB10 7PW,2012,2
36,AB10 7PX,2012,1.4
37,AB11 5AZ,2012,1
38,AB11 5BD,2012,1
39,AB11 5BD,2013,1
40,AB11 5BJ,2012,1.333333333
41,AB11 5BU,2012,1
42,AB11 5BU,2013,1
43,AB11 5EJ,2012,1.25
44,AB11 5EJ,2013,1
45,AB11 5HS,2012,1.7
46,AB11 5HS,2013,1
47,AB11 5PA,2013,1
48,AB11 5PD,2012,1
49,AB11 5PZ,2012,1.5
50,AB11 5QW,2012,1
51,AB11 5QW,2013,1.571428571
52,AB11 6AD,2012,1
53,AB11 6BG,2012,1.25
54,AB11 6BG,2013,2
55,AB11 6BH,2012,1.333333333
56,AB11 6DA,2012,1
57,AB11 6ED,2012,1
58,AB11 6EJ,2012,1.428571429
59,AB11 6EZ,2012,1.75
60,AB11 6EZ,2013,1.5
61,AB11 6JJ,2012,1
62,AB11 6JS,2012,1.653846154
63,AB11 6JS,2013,2
64,AB11 6JX,2012,2.5
65,AB11 6JX,2013,1
66,AB11 6JY,2012,1.555555556
67,AB11 6JY,2013,1
68,AB11 7BH,2012,1.857142857
69,AB11 7BH,2013,1
70,AB11 7DG,2012,2
71,AB11 7DG,2013,2
72,AB11 7LH,2012,1.333333333
73,AB11 7LH,2013,1
74,AB11 7XY,2012,2
75,AB11 7XY,2013,1
76,AB11 8AB,2012,2
77,AB11 8DF,2012,1.5
78,AB11 8JA,2012,1.166666667
79,AB11 8JA,2013,1.2
80,AB11 8SR,2012,1.428571429
81,AB11 8SR,2013,1
82,AB11 8TD,2012,4
83,AB11 8TD,2013,1.5
84,AB11 9AA,2012,1.2
85,AB11 9DS,2012,3
86,AB11 9DS,2013,1
87,AB11 9PE,2012,2.333333333
88,AB11 9PE,2013,1.666666667
89,AB11 9PS,2012,1.454545455
90,AB11 9QQ,2012,1.1875
91,AB11 9QQ,2013,1
92,AB11 9QY,2012,1
93,AB12 3AF,2012,1.833333333
94,AB12 3AF,2013,1
95,AB12 3AR,2012,1.333333333
96,AB12 3BE,2012,2.25
97,AB12 3DJ,2012,2
98,AB12 3HA,2012,1
99,AB12 3HY,2012,1
100,AB12 3HY,2013,2
101,AB12 3JA,2012,1.6
102,AB12 3JB,2012,1.533333333
103,AB12 3JB,2013,1
104,AB12 3LE,2012,1.5
105,AB12 3LL,2012,1.5
106,AB12 3LL,2013,1
107,AB12 3LT,2012,1
108,AB12 3NL,2012,1.454545455
109,AB12 3RE,2012,1.5
110,AB12 3RE,2013,1.5
111,AB12 3ZR,2012,1.2
112,AB12 3ZR,2013,1.5
113,AB12 4BA,2012,1.2
114,AB12 4BE,2012,1.375
115,AB12 4LH,2012,1.5
116,AB12 4LQ,2012,2.25
117,AB12 4LQ,2013,1.375
118,AB12 4QH,2012,1
119,AB12 4QL,2012,1
120,AB12 4QN,2012,1
121,AB12 4RR,2012,2
122,AB12 4ST,2012,2
123,AB12 4TS,2012,1.5
124,AB12 4TS,2013,2
125,AB12 5AA,2012,1.666666667
126,AB12 5AA,2013,1
127,AB12 5AD,2012,1.285714286
128,AB12 5BS,2012,1.444444444
129,AB12 5BS,2013,2
130,AB12 5GL,2012,2
